edge,url,channel,note,status
osoto-gari__counter__osoto-gaeshi,https://www.youtube.com/watch?v=8ZjM3X_EANo,Kodokan,100 Techniques series,candidate
uchi-mata__counter__uchi-mata-gaeshi,https://www.youtube.com/watch?v=Sy6sLWxkWYw,Kodokan,100 Techniques series,candidate
uchi-mata__counter__uchi-mata-sukashi,https://www.youtube.com/watch?v=V-RS3uhtVWM,Kodokan,100 Techniques series,candidate
uchi-mata__counter__uchi-mata-sukashi,https://www.youtube.com/watch?v=JvypPP1-5Iw,unknown,competition context alt,candidate
deashi-harai__counter__tsubame-gaeshi,https://www.youtube.com/watch?v=GwweWqqFB5g,Kodokan,100 Techniques series,candidate
harai-goshi__counter__harai-goshi-gaeshi,https://www.youtube.com/watch?v=4U3It-7PPsc,Kodokan,100 Techniques series,candidate
osoto-gari__counter__osoto-gaeshi,https://www.youtube.com/watch?v=N-NoS3VYxUE,unknown,gonosen-no-kata full; needs start_s,candidate
hiza-guruma__counter__hiza-guruma,https://www.youtube.com/watch?v=N-NoS3VYxUE,unknown,gonosen-no-kata; needs start_s,candidate
ouchi-gari__counter__deashi-harai,https://www.youtube.com/watch?v=N-NoS3VYxUE,unknown,gonosen-no-kata; needs start_s,candidate
deashi-harai__counter__deashi-harai,https://www.youtube.com/watch?v=N-NoS3VYxUE,unknown,gonosen-no-kata; needs start_s,candidate
kosoto-gake__counter__tai-otoshi,https://www.youtube.com/watch?v=N-NoS3VYxUE,unknown,gonosen-no-kata; needs start_s,candidate
kouchi-gari__counter__sasae-tsurikomi-ashi,https://www.youtube.com/watch?v=N-NoS3VYxUE,unknown,gonosen-no-kata; needs start_s,candidate
hane-goshi__counter__sasae-tsurikomi-ashi,https://www.youtube.com/watch?v=N-NoS3VYxUE,unknown,gonosen-no-kata; needs start_s,candidate
harai-goshi__counter__utsuri-goshi,https://www.youtube.com/watch?v=N-NoS3VYxUE,unknown,gonosen-no-kata; needs start_s,candidate
uchi-mata__counter__sukui-nage,https://www.youtube.com/watch?v=N-NoS3VYxUE,unknown,gonosen-no-kata; leg grab; kata-only,candidate
ouchi-gari__combination__kouchi-gari,https://www.youtube.com/watch?v=pJdSJRWI0oE,Efficient Judo,Combination demo series,candidate
ouchi-gari__combination__seoi-nage,https://www.youtube.com/watch?v=5V8ypueVfjA,Efficient Judo,Combination demo series,candidate
ouchi-gari__combination__tai-otoshi,https://www.youtube.com/watch?v=UXI08GhZYxQ,unknown,Portuguese tandoku renshu; weak,candidate
ouchi-gari__combination__uchi-mata,https://www.youtube.com/watch?v=EwXesAk7l4g,Quick Study Judo,,candidate
tai-otoshi__combination__uchi-mata,https://www.youtube.com/watch?v=HeNyPUGMJmM,Efficient Judo,Combination demo series,candidate
tai-otoshi__combination__uchi-mata,https://www.youtube.com/watch?v=RU5qJcXvQVA,Quick Study Judo,alt,candidate
kouchi-gari__combination__ippon-seoi-nage,https://www.youtube.com/watch?v=r1zGVN_S0IU,Efficient Judo,Combination demo series,candidate
kouchi-gari__combination__ippon-seoi-nage,https://www.youtube.com/watch?v=q8Nw0FMgQJE,Quick Study Judo,drop variant,candidate
kouchi-gari__combination__seoi-nage,https://www.youtube.com/watch?v=6ITwapP2hqw,unknown,Jane Bridge seminar Montpellier 2006,candidate
seoi-nage__combination__ouchi-gari,https://www.youtube.com/watch?v=e6BP5oZJr-4,unknown,,candidate
ippon-seoi-nage__combination__kouchi-gake,https://www.youtube.com/watch?v=pxyZq_JT-Ns,Camberley Judo,warm-up drill,candidate
kouchi-gari__combination__ouchi-gari,https://www.youtube.com/watch?v=aKSiAsme-cs,Judo Encyclopedia,14 x renraku compilation; needs start_s,candidate
kouchi-gari__combination__tai-otoshi,https://www.youtube.com/watch?v=aKSiAsme-cs,Judo Encyclopedia,14 x renraku compilation; needs start_s,candidate
tomoe-nage__tachi-ne__juji-gatame,https://www.youtube.com/watch?v=J5HO0ZgfuA0,unknown,,candidate
tomoe-nage__tachi-ne__juji-gatame,https://www.youtube.com/watch?v=lB6Rg3ItqNk,unknown,alt,candidate
tomoe-nage__tachi-ne__juji-gatame,https://www.youtube.com/watch?v=glSX80h_oBU,unknown,Tsunoda competition clip; check embed rights,candidate
yoko-tomoe-nage__tachi-ne__juji-gatame,https://www.youtube.com/watch?v=k56A7cILOPo,unknown,,candidate
yoko-tomoe-nage__tachi-ne__juji-gatame,https://www.youtube.com/watch?v=I7e3tWssbRE,unknown,JudoCon 2018,candidate
